iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
YEM,Yemen,1991.0,4.4,10.0,40039.0,,,,,,,1016.30223044813,8.428,Low
CRI,Costa Rica,1991.0,5.6,,,,,,,,,2253.38191508071,5.37,Lower-Middle
PAN,Panama,1991.0,5.6,,2036.0,,,,,,,2820.54547665418,6.443,Lower-Middle
ROU,Romania,1991.0,5.7,,1845.0,,,,,,,1254.3124421298,8.23,Lower-Middle
DZA,Algeria,1992.0,5.0,,2250.0,,,,,,,1802.69300801289,24.38,Lower-Middle
TUR,Türkiye,1992.0,6.8,653.0,348850.0,750000.0,1676684.0,,,,,2743.65320297936,8.509,Lower-Middle
PAK,Pakistan,1992.0,5.7,4.0,200.0,,,,,,,395.67720859593,0.587,Low
COD,Democratic Republic of the Congo,1992.0,6.7,9.0,311.0,,,,,,,209.726548794417,3.372,Low
CUB,Cuba,1992.0,7.0,,5869.0,,,,,,,2047.67900346421,8.779,Lower-Middle
NIC,Nicaragua,1992.0,7.0,179.0,6179.0,25000.0,55889.0,,,,,411.473330661786,7.809,Low
KGZ,Kyrgyzstan,1992.0,7.5,54.0,86806.0,130000.0,290625.0,,,,,512.766741120388,1.1,Low
KGZ,Kyrgyzstan,1992.0,7.0,4.0,50000.0,31000.0,69303.0,,,,,512.766741120388,1.1,Low
BEL,Belgium,1992.0,5.5,,,100000.0,223558.0,,,,,23372.619171015,6.702,High
DEU,Germany,1992.0,5.6,1.0,1525.0,50000.0,111779.0,,,,,26559.8543879632,6.323,High
NLD,Netherlands (Kingdom of the),1992.0,5.5,,20.0,,,,,,,23939.2173482108,5.555,High
USA,United States of America,1992.0,6.9,,94.0,75000.0,167668.0,,,,,25418.9907763319,7.5,High
EGY,Egypt,1992.0,5.9,552.0,92649.0,1200000.0,2682694.0,,,,,680.79923864551,8.92,Low
COL,Colombia,1992.0,6.6,11.0,1635.0,,,,,,,1730.39091795329,9.44,Lower-Middle
IDN,Indonesia,1992.0,7.5,2500.0,92103.0,100000.0,223558.0,,,,,673.67103954742,2.734,Low
IRN,Iran (Islamic Republic of),1992.0,4.9,5.0,4050.0,,,,,,,1957.48507794252,10.653,Lower-Middle
AFG,Afghanistan,1992.0,5.5,14.0,,,,,,,,,7.958,
PAK,Pakistan,1992.0,6.0,36.0,2100.0,,,,,,,395.67720859593,0.587,Low
USA,United States of America,1992.0,7.4,1.0,300.0,100000.0,223558.0,,,,,25418.9907763319,7.5,High
UZB,Uzbekistan,1992.0,5.6,9.0,50000.0,,,,,,,602.920525827048,2.9,Low
IDN,Indonesia,1992.0,5.0,,7501.0,,,,,,,673.67103954742,2.734,Low
JPN,Japan,1992.0,5.9,,32.0,,,,,,,31992.7902119161,2.158,High
CHN,China,1992.0,6.5,,16000.0,3150.0,7042.0,,,,,367.822651903542,2.37,Low
GEO,Georgia,1992.0,6.7,1.0,10.0,,,,,,,757.223548505358,5.4,Low
USA,United States of America,1992.0,6.2,,32.0,100000.0,223558.0,,,,,25418.9907763319,7.5,High
IRN,Iran (Islamic Republic of),1993.0,5.6,24.0,4049.0,,,,,,,1038.10985682067,10.573,Low
JPN,Japan,1993.0,7.8,239.0,7355.0,1000000.0,2171484.0,,,,,36345.2441262708,2.539,High
GUM,Guam,1993.0,8.1,,71.0,120000.0,260578.0,,,,,,5.527,
SDN,Sudan,1993.0,6.2,3.0,15.0,,,,,,,312.693908691406,15.51,Low
IND,India,1993.0,6.4,9748.0,30000.0,280000.0,608015.0,,,,,302.884806246174,7.662,Low
PNG,Papua New Guinea,1993.0,7.2,53.0,20200.0,5000.0,10857.0,,,,,1151.28388116601,2.382,Lower-Middle
MEX,Mexico,1993.0,6.5,,,,,,,,,6048.34840388099,3.365,Upper-Middle
JPN,Japan,1993.0,7.5,2.0,10522.0,358000.0,777391.0,,,,,36345.2441262708,2.539,High
CHN,China,1993.0,6.3,,142146.0,,,,,,,378.939353053314,2.69,Low
WLF,Wallis and Futuna Islands,1993.0,6.5,5.0,20.0,,,,,,,,,
GRC,Greece,1993.0,5.2,1.0,1516.0,,,,,,,10257.3085789073,10.177,Upper-Middle
PER,Peru,1993.0,5.6,6.0,145.0,,,,,,,1487.67404314175,4.795,Lower-Middle
CRI,Costa Rica,1993.0,4.4,3.0,240.0,,,,,,,2840.38706479397,3.95,Lower-Middle
USA,United States of America,1993.0,5.8,2.0,3000.0,7500.0,16286.0,,,,,26387.2937338171,6.9,High
