iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
COL,Colombia,2000.0,6.5,2.0,430.0,,,,,,,2555.00751039968,20.52,Lower-Middle
TUR,Türkiye,2000.0,4.5,1.0,1000.0,,,,,,,4199.3798635759,6.495,Lower-Middle
TUR,Türkiye,2000.0,6.0,2.0,23080.0,,,,,,,4199.3798635759,6.495,Lower-Middle
GRC,Greece,2000.0,5.6,,600.0,,,,,,,11638.2010697215,11.345,Upper-Middle
JPN,Japan,2000.0,6.1,1.0,100.0,,,,,,,39169.3595701504,4.748,High
MMR,Myanmar,2025.0,7.7,3820.0,1355104.0,11000000.0,,,,,,,3.047,
CHN,China,2006.0,4.5,,20000.0,,,,,,,2129.25696999613,4.43,Lower-Middle
TJK,Tajikistan,2000.0,4.8,,6000.0,,,,,,,136.925716400723,4.15,Low
AZE,Azerbaijan,2000.0,6.8,31.0,3294.0,10000.0,18217.0,,,,,655.097249579917,11.78,Low
PAK,Pakistan,2001.0,7.7,12.0,914292.0,500.0,886.0,,,,,609.939506905073,0.611,Low
PNG,Papua New Guinea,2001.0,6.4,,201.0,,,,,,,537.847459634131,2.801,Low
TUR,Türkiye,2001.0,5.5,,480.0,,,,,,,3052.2256706793,8.381,Lower-Middle
IRN,Iran (Islamic Republic of),2017.0,4.9,2.0,120.0,,,,,,,6000.93346404409,12.232,Upper-Middle
KEN,Kenya,2004.0,9.1,1.0,,100000.0,166075.0,,,,,463.662781300121,2.844,Low
SOM,Somalia,2004.0,9.1,298.0,105083.0,100000.0,166075.0,,,,,375.410326225387,18.653,Low
IRN,Iran (Islamic Republic of),2018.0,6.0,2.0,13255.0,,,,,,,4783.01067340237,12.195,Upper-Middle
PNG,Papua New Guinea,2018.0,6.7,25.0,,,,,,,,2566.36833735041,2.65,Lower-Middle
SYC,Seychelles,2004.0,9.1,3.0,4830.0,30000.0,49823.0,,,,,10827.671636033,,Upper-Middle
IDN,Indonesia,2011.0,9.1,1.0,95.0,,,,,,,3579.46442466152,5.153,Lower-Middle
PAK,Pakistan,2016.0,6.6,6.0,142.0,,,,,,,1424.69161195897,2.285,Lower-Middle
ECU,Ecuador,2016.0,7.8,672.0,389364.0,2000000.0,2613996.0,,,,,5917.63771271481,4.597,Upper-Middle
USA,United States of America,2016.0,5.0,,120.0,20000.0,26140.0,,,,,57638.1018367192,4.869,High
IRN,Iran (Islamic Republic of),2017.0,5.6,3.0,2262.0,2000.0,2559.0,,,,,6000.93346404409,12.232,Upper-Middle
HTI,Haiti,2018.0,5.9,17.0,39336.0,,,,,,,1496.38048970156,13.934,Lower-Middle
GTM,Guatemala,2017.0,7.7,,3601.0,,,,,,,4324.99768915601,2.462,Upper-Middle
IRN,Iran (Islamic Republic of),2017.0,7.3,444.0,209000.0,740000.0,947006.0,,,,,6000.93346404409,12.232,Upper-Middle
CHN,China,2017.0,6.4,,23403.0,,,,,,,8979.67652709856,4.47,Upper-Middle
PNG,Papua New Guinea,2018.0,7.5,145.0,544300.0,61000.0,76203.0,,,,,2566.36833735041,2.65,Lower-Middle
TWN,Taiwan (Province of China),2018.0,6.4,84.0,285.0,100000.0,124923.0,,,,,,,
GRC,Greece,2001.0,6.5,,300.0,,,,,,,12156.9572824221,10.764,Upper-Middle
IRN,Iran (Islamic Republic of),2001.0,4.9,,1000.0,,,,,,,1881.02266635283,12.362,Lower-Middle
IDN,Indonesia,2018.0,6.4,14.0,102852.0,29000.0,36228.0,,,,,3860.95353090726,4.387,Lower-Middle
IDN,Indonesia,2018.0,6.9,10.0,779.0,5000.0,6246.0,,,,,3860.95353090726,4.387,Lower-Middle
IRN,Iran (Islamic Republic of),2018.0,6.3,,716.0,10000.0,12492.0,,,,,4783.01067340237,12.195,Upper-Middle
PHL,Philippines,2019.0,6.1,25.0,15555.0,50000.0,61349.0,,,,,3400.78949767074,2.237,Lower-Middle
PNG,Papua New Guinea,2019.0,7.6,,651.0,,,,,,,2575.77274140393,2.651,Lower-Middle
USA,United States of America,2019.0,7.1,,150.0,200000.0,245398.0,,,,,64746.4506778863,3.669,High
JPN,Japan,2019.0,6.4,,460.0,,,,,,,40415.9567649547,2.351,High
ALB,Albania,2019.0,5.6,,4608.0,45000.0,55215.0,,,,,6069.43903131027,11.466,Upper-Middle
IRN,Iran (Islamic Republic of),2020.0,5.8,,15075.0,,,,,,,3202.50003502169,9.687,Lower-Middle
MMR,Myanmar,2004.0,9.1,71.0,15700.0,500000.0,830377.0,,,,,224.508811413327,0.677,Low
ITA,Italy,2016.0,6.2,296.0,4854.0,5000000.0,6534990.0,,,,,31391.5692898108,11.688,High
HTI,Haiti,2010.0,7.0,222570.0,3700000.0,8000000.0,11508590.0,,,,,1209.72733503094,15.244,Lower-Middle
CHL,Chile,2010.0,8.8,562.0,2671556.0,30000000.0,43157213.0,,,,,12632.8704724192,8.547,Upper-Middle
CHN,China,2014.0,6.2,731.0,1120513.0,5000000.0,6625285.0,,,,,7781.06597484974,4.63,Upper-Middle
BGD,Bangladesh,2016.0,6.7,5.0,70.0,,,,,,,1649.28380858601,4.35,Lower-Middle
JPN,Japan,2016.0,7.0,49.0,298432.0,20000000.0,26139958.0,,,,,39375.4731620781,3.132,High
IRN,Iran (Islamic Republic of),2019.0,5.9,6.0,23084.0,90000.0,110429.0,,,,,3997.4935449585,10.74,Lower-Middle
MMR,Myanmar,2016.0,6.8,4.0,1152.0,10000.0,13070.0,,,,,1229.19713491328,1.058,Lower-Middle
NZL,New Zealand,2016.0,7.8,2.0,50.0,3900000.0,5097292.0,,,,,40113.7195382428,5.147,High
CHN,China,2016.0,6.6,1.0,37200.0,5500.0,7188.0,,,,,8254.86859320357,4.56,Upper-Middle
JPN,Japan,2016.0,6.2,,493.0,100000.0,130700.0,,,,,39375.4731620781,3.132,High
GRC,Greece,2017.0,6.7,2.0,120.0,,,,,,,18631.9930129293,21.413,High
TUR,Türkiye,2017.0,6.7,,360.0,,,,,,,10756.3877677883,10.919,Upper-Middle
CHN,China,2017.0,6.5,29.0,218325.0,500000.0,639869.0,,,,,8979.67652709856,4.47,Upper-Middle
MEX,Mexico,2017.0,7.1,369.0,256000.0,6000000.0,7678427.0,,,,,9649.27816772402,3.419,Upper-Middle
KOR,Republic of Korea,2017.0,5.4,,5057.0,,,,,,,33296.9845439195,3.653,High
IDN,Indonesia,2018.0,6.9,564.0,516927.0,790000.0,986888.0,,,,,3860.95353090726,4.387,Lower-Middle
ECU,Ecuador,2019.0,8.0,,15.0,,,,,,,6205.05765246766,3.812,Upper-Middle
TJK,Tajikistan,2002.0,5.3,3.0,1050.0,,,,,,,186.951638285222,3.95,Low
IDN,Indonesia,2019.0,7.2,8.0,11804.0,,,,,,,4106.94856160358,3.59,Lower-Middle
IDN,Indonesia,2019.0,6.5,31.0,247418.0,,,,,,,4106.94856160358,3.59,Lower-Middle
TUR,Türkiye,2019.0,5.7,1.0,1453.0,,,,,,,9395.23378001368,13.73,Upper-Middle
PHL,Philippines,2019.0,6.4,7.0,3283.0,,,,,,,3400.78949767074,2.237,Lower-Middle
ALB,Albania,2019.0,6.4,51.0,202913.0,700000.0,858892.0,,,,,6069.43903131027,11.466,Upper-Middle
PHL,Philippines,2019.0,6.8,14.0,394565.0,,,,,,,3400.78949767074,2.237,Lower-Middle
BGD,Bangladesh,2004.0,9.1,2.0,,500000.0,830377.0,,,,,455.614016909798,4.316,Low
LKA,Sri Lanka,2004.0,9.1,35399.0,1019306.0,1316500.0,2186384.0,,,,,1028.62068132555,8.38,Low
MDV,Maldives,2004.0,9.1,102.0,27214.0,470100.0,780721.0,,,,,4070.2609459446,6.151,Lower-Middle
MYS,Malaysia,2004.0,9.1,80.0,5063.0,500000.0,830377.0,,,,,4939.24851854427,3.54,Upper-Middle
THA,Thailand,2004.0,9.1,8345.0,67007.0,1000000.0,1660755.0,,,,,2641.56268717857,1.51,Lower-Middle
PHL,Philippines,2017.0,6.7,8.0,16857.0,13974.0,17883.0,,,,,3038.12124959289,2.552,Lower-Middle
TUR,Türkiye,2002.0,6.5,42.0,252327.0,95000.0,165673.0,,,,,3591.08628982587,10.358,Lower-Middle
IDN,Indonesia,2007.0,8.4,25.0,459567.0,500000.0,756451.0,,,,,1823.21976255073,8.06,Lower-Middle
PNG,Papua New Guinea,2002.0,6.7,1.0,1000.0,,,,,,,506.331789534482,2.756,Low
SRB,Serbia,2010.0,5.5,2.0,27030.0,132260.0,190266.0,,,,,5970.92660940072,19.204,Upper-Middle
IDN,Indonesia,2012.0,8.6,7.0,107.0,,,,,,,3632.27254030331,4.468,Lower-Middle
IND,India,2016.0,6.7,8.0,10808.0,75000.0,98025.0,,,,,1707.50892912243,7.611,Lower-Middle
ECU,Ecuador,2016.0,6.8,1.0,147.0,,,,,,,5917.63771271481,4.597,Upper-Middle
KOR,Republic of Korea,2016.0,5.4,,29832.0,21000.0,27447.0,,,,,30832.0628072516,3.65,High
ITA,Italy,2016.0,6.1,1.0,3027.0,200000.0,261400.0,,,,,31391.5692898108,11.688,High
ITA,Italy,2016.0,6.5,,22292.0,200000.0,261400.0,,,,,31391.5692898108,11.688,High
IRN,Iran (Islamic Republic of),2002.0,5.4,1.0,780.0,,,,,,,1891.25756091033,12.8,Lower-Middle
SLB,Solomon Islands,2016.0,7.8,,9770.0,,,,,,,2082.62383124213,0.736,Lower-Middle
CHN,China,2019.0,5.8,13.0,244220.0,1300000.0,1595086.0,,,,,10342.9009524335,4.56,Upper-Middle
PHL,Philippines,2017.0,5.9,,25000.0,2000.0,2559.0,,,,,3038.12124959289,2.552,Lower-Middle
PAK,Pakistan,2002.0,6.3,3.0,,,,,,,,599.937345723927,0.615,Low
GRC,Greece,2017.0,6.3,1.0,731.0,,,,,,,18631.9930129293,21.413,High
PHL,Philippines,2017.0,6.5,3.0,16500.0,4364.0,5585.0,,,,,3038.12124959289,2.552,Lower-Middle
IND,India,2004.0,9.1,16389.0,654512.0,1022800.0,1698620.0,,,,,624.258826510066,7.598,Low
IDN,Indonesia,2017.0,6.5,4.0,8895.0,,,,,,,3798.88326174526,3.783,Lower-Middle
CHL,Chile,2019.0,6.7,2.0,780.0,,,,,,,14495.716721687,7.493,High
SLV,El Salvador,2019.0,6.6,1.0,160.0,,,,,,,4320.11671534627,4.17,Upper-Middle
PER,Peru,2019.0,8.0,2.0,4272.0,,,,,,,7037.00803692604,3.379,Upper-Middle
PAK,Pakistan,2019.0,5.6,39.0,130398.0,17000.0,20859.0,,,,,1390.41690981745,4.83,Lower-Middle
ECU,Ecuador,2019.0,7.5,,249.0,,,,,,,6205.05765246766,3.812,Upper-Middle
PHL,Philippines,2019.0,6.5,23.0,260703.0,,,,,,,3400.78949767074,2.237,Lower-Middle
TUR,Türkiye,2020.0,5.8,9.0,3050.0,,,,,,,8798.11791709313,13.148,Upper-Middle
IDN,Indonesia,2004.0,9.1,165708.0,532898.0,4451600.0,7393017.0,,,,,1126.84004447173,7.303,Lower-Middle
TZA,United Republic of Tanzania,2004.0,9.1,10.0,,,,,,,,450.385284423828,3.105,Low
IDN,Indonesia,2005.0,8.6,915.0,105313.0,,,,,,,1238.21447629488,7.945,Lower-Middle
JPN,Japan,2011.0,9.1,19846.0,368820.0,210000000.0,292855483.0,,,,,48760.0789494211,4.55,High
TWN,Taiwan (Province of China),2016.0,6.4,117.0,525.0,700000.0,914899.0,,,,,,,
TZA,United Republic of Tanzania,2016.0,5.9,17.0,139601.0,458000.0,598605.0,,,,,953.0107421875,1.931,Low
UGA,Uganda,2016.0,5.9,4.0,590.0,,,,,,,752.696571725656,3.002,Low
MKD,North Macedonia,2016.0,5.1,,100.0,10000.0,13070.0,,,,,5598.48622617967,24.312,Upper-Middle
IDN,Indonesia,2016.0,6.5,104.0,86018.0,100000.0,130700.0,,,,,3521.46943457574,4.301,Lower-Middle
ITA,Italy,2017.0,5.3,29.0,11.0,18000.0,23035.0,,,,,32844.115660604,11.211,High
IRN,Iran (Islamic Republic of),2002.0,5.4,2.0,20056.0,,,,,,,1891.25756091033,12.8,Lower-Middle
GEO,Georgia,2002.0,4.8,6.0,19156.0,350000.0,610375.0,,,,,853.526171868939,12.59,Low
MEX,Mexico,2017.0,8.1,98.0,1200250.0,2300000.0,2943397.0,,,,,9649.27816772402,3.419,Upper-Middle
IRQ,Iraq,2017.0,7.3,10.0,5969.0,,,,,,,4759.2846435467,13.02,Upper-Middle
IDN,Indonesia,2018.0,6.0,1.0,13811.0,80000.0,99938.0,,,,,3860.95353090726,4.387,Lower-Middle
JPN,Japan,2018.0,5.5,5.0,20715.0,3250000.0,4059983.0,,,,,39751.1330982711,2.467,High
MEX,Mexico,2018.0,7.2,,3004.0,,,,,,,10084.7937562021,3.275,Upper-Middle
IDN,Indonesia,2018.0,7.5,4140.0,2000000.0,1450000.0,1811377.0,,,,,3860.95353090726,4.387,Lower-Middle
IDN,Indonesia,2019.0,6.9,6.0,2104.0,,,,,,,4106.94856160358,3.59,Lower-Middle
IRN,Iran (Islamic Republic of),2002.0,6.5,227.0,111300.0,300000.0,523178.0,,,,,1891.25756091033,12.8,Lower-Middle
ARG,Argentina,2002.0,6.0,,727.0,,,,,,,2569.69963519124,19.59,Lower-Middle
NPL,Nepal,2022.0,5.7,6.0,30008.0,,,,,,,1385.91066274851,10.661,Lower-Middle
PHL,Philippines,2022.0,6.4,,147422.0,1400.0,1501.0,,,,,3548.06930572116,2.598,Lower-Middle
PNG,Papua New Guinea,2002.0,7.6,4.0,4470.0,,,,,,,506.331789534482,2.756,Low
CHN,China,2016.0,4.8,2.0,5000.0,60000.0,78420.0,,,,,8254.86859320357,4.56,Upper-Middle
TJK,Tajikistan,2010.0,5.4,,7840.0,1500.0,2158.0,,,,,737.338883219356,7.037,Low
CHN,China,2016.0,6.0,,9120.0,135000.0,176445.0,,,,,8254.86859320357,4.56,Upper-Middle
CHN,China,2017.0,5.4,8.0,7623.0,123000.0,157408.0,,,,,8979.67652709856,4.47,Upper-Middle
PER,Peru,2016.0,5.5,4.0,11182.0,,,,,,,6217.03599995447,3.741,Upper-Middle
IDN,Indonesia,2016.0,5.6,1.0,1172.0,,,,,,,3521.46943457574,4.301,Lower-Middle
PER,Peru,2016.0,6.3,1.0,257.0,,,,,,,6217.03599995447,3.741,Upper-Middle
TUR,Türkiye,2025.0,6.1,1.0,1513.0,10000.0,,,,,,,8.52,
PAK,Pakistan,2002.0,5.4,17.0,15065.0,,,,,,,599.937345723927,0.615,Low
PAK,Pakistan,2002.0,6.3,19.0,140782.0,,,,,,,599.937345723927,0.615,Low
CHN,China,2012.0,5.3,,5500.0,96000.0,131163.0,,,,,6405.0574241349,4.58,Upper-Middle
GRC,Greece,2002.0,5.7,,167.0,,,,,,,13782.195640943,10.346,High
IRN,Iran (Islamic Republic of),2002.0,5.6,,5.0,,,,,,,1891.25756091033,12.8,Lower-Middle
AFG,Afghanistan,2025.0,6.0,2200.0,1304700.0,180000.0,,,,,,,13.351,
PER,Peru,2018.0,7.1,2.0,9319.0,,,,,,,6978.49121548627,3.492,Upper-Middle
CHN,China,2018.0,5.3,,12000.0,29000.0,36228.0,,,,,10085.6638148819,4.31,Upper-Middle
CHN,China,2018.0,5.0,,18024.0,50000.0,62461.0,,,,,10085.6638148819,4.31,Upper-Middle
IRN,Iran (Islamic Republic of),2018.0,5.8,,5042.0,10000.0,12492.0,,,,,4783.01067340237,12.195,Upper-Middle
JPN,Japan,2018.0,6.6,41.0,6280.0,1250000.0,1561532.0,,,,,39751.1330982711,2.467,High
IDN,Indonesia,2019.0,5.4,,1763.0,,,,,,,4106.94856160358,3.59,Lower-Middle
IRN,Iran (Islamic Republic of),2019.0,5.6,1.0,2100.0,,,,,,,3997.4935449585,10.74,Lower-Middle
PHL,Philippines,2019.0,6.0,9.0,3027.0,5258.0,6452.0,,,,,3400.78949767074,2.237,Lower-Middle
PHL,Philippines,2019.0,6.6,10.0,26025.0,,,,,,,3400.78949767074,2.237,Lower-Middle
FRA,France,2019.0,4.8,,754.0,,,,,,,40408.2848574751,8.415,High
PRI,Puerto Rico,2020.0,6.4,4.0,5078.0,800000.0,969630.0,,,,,31427.1130762831,8.89,High
GTM,Guatemala,2001.0,7.7,6.0,152.0,50.0,89.0,,,,,1537.68663578252,2.251,Lower-Middle
JPN,Japan,2016.0,6.2,9.0,120800.0,,,,,,,39375.4731620781,3.132,High
TJK,Tajikistan,2016.0,5.0,,155.0,,,,,,,788.710481734485,7.036,Low
ITA,Italy,2017.0,4.3,2.0,2642.0,,,,,,,32844.115660604,11.211,High
SLV,El Salvador,2018.0,5.4,,2500.0,,,,,,,4183.54620971358,4.006,Lower-Middle
CHN,China,2019.0,4.9,2.0,32772.0,2000.0,2454.0,,,,,10342.9009524335,4.56,Upper-Middle
IDN,Indonesia,2019.0,5.6,6.0,22462.0,,,,,,,4106.94856160358,3.59,Lower-Middle
PHL,Philippines,2019.0,5.8,,9577.0,,,,,,,3400.78949767074,2.237,Lower-Middle
CHN,China,2019.0,5.0,1.0,15582.0,,,,,,,10342.9009524335,4.56,Upper-Middle
TUR,Türkiye,2020.0,6.7,41.0,70607.0,340000.0,412093.0,,,,,8798.11791709313,13.148,Upper-Middle
CHN,China,2017.0,5.0,,2106.0,31000.0,39672.0,,,,,8979.67652709856,4.47,Upper-Middle
AFG,Afghanistan,2025.0,6.3,26.0,1412172.0,10000.0,,,,,,,13.351,
IDN,Indonesia,2016.0,5.6,,3410.0,,,,,,,3521.46943457574,4.301,Lower-Middle
KGZ,Kyrgyzstan,2017.0,6.0,,5000.0,,,,,,,1221.39046807082,4.425,Lower-Middle
PNG,Papua New Guinea,2018.0,6.0,11.0,,,,,,,,2566.36833735041,2.65,Lower-Middle
ALB,Albania,2019.0,5.2,,304.0,,,,,,,6069.43903131027,11.466,Upper-Middle
ETH,Ethiopia,2025.0,5.2,2.0,99952.0,,,,,,,,3.323,
PAK,Pakistan,2022.0,5.9,43.0,,,,,,,,1538.3228133171,5.291,Lower-Middle
CHN,China,2003.0,6.4,,3300.0,,,,,,,1306.97245408557,4.58,Lower-Middle
BIH,Bosnia and Herzegovina,2022.0,5.6,1.0,1052.0,26000.0,27869.0,,,,,7655.59421024383,12.657,Upper-Middle
AFG,Afghanistan,2003.0,4.6,1.0,1001.0,,,,,,,198.871115728727,7.844,Low
KAZ,Kazakhstan,2003.0,5.5,3.0,36626.0,,,,,,,1958.02050246511,8.78,Lower-Middle
IRN,Iran (Islamic Republic of),2003.0,5.2,,1091.0,,,,,,,2208.99636552406,11.529,Lower-Middle
IDN,Indonesia,2022.0,6.0,,6003.0,,,,,,,4730.83484836107,3.462,Upper-Middle
TWN,Taiwan (Province of China),2022.0,6.5,1.0,140.0,50000.0,53594.0,,,,,,,
ECU,Ecuador,2025.0,6.3,,3081.0,,,,,,,,3.308,
IRN,Iran (Islamic Republic of),2003.0,6.6,26796.0,267628.0,500000.0,852609.0,,,,,2208.99636552406,11.529,Lower-Middle
TUR,Türkiye,2003.0,4.5,,240.0,,,,,,,4649.63668068586,10.542,Upper-Middle
IRN,Iran (Islamic Republic of),2003.0,5.0,,725.0,,,,,,,2208.99636552406,11.529,Lower-Middle
TUR,Türkiye,2003.0,5.8,,170.0,,,,,,,4649.63668068586,10.542,Upper-Middle
IRN,Iran (Islamic Republic of),2023.0,5.7,,41678.0,50000.0,51475.0,,,,,5049.29931642754,8.129,Upper-Middle
IDN,Indonesia,2004.0,7.0,37.0,14072.0,1000.0,1661.0,,,,,1126.84004447173,7.303,Lower-Middle
IDN,Indonesia,2004.0,5.1,5.0,507.0,,,,,,,1126.84004447173,7.303,Lower-Middle
TUR,Türkiye,2004.0,5.6,9.0,4030.0,,,,,,,5979.6054216148,10.838,Upper-Middle
MEX,Mexico,2026.0,6.5,1.0,16152.0,,,,,,,,,
IRN,Iran (Islamic Republic of),2004.0,6.3,35.0,498.0,165000.0,274025.0,,,,,2672.4226651404,10.3,Lower-Middle
PAK,Pakistan,2026.0,5.6,1.0,152.0,,,,,,,,,
JPN,Japan,2024.0,7.5,699.0,169562.0,15000000.0,15000000.0,,,,,32487.0778047567,2.5,High
COL,Colombia,2004.0,5.1,1.0,502.0,,,,,,,2818.57195413044,13.717,Lower-Middle
JPN,Japan,2004.0,6.6,40.0,62183.0,28000000.0,46501138.0,,,,,38298.9801712303,4.734,High
IDN,Indonesia,2004.0,7.1,32.0,12833.0,55000.0,91342.0,,,,,1126.84004447173,7.303,Lower-Middle
PHL,Philippines,2025.0,6.9,79.0,755292.0,100000.0,,,,,,,2.235,
CHN,China,2004.0,5.5,,4199.0,,,,,,,1530.92726215723,4.49,Lower-Middle
CHN,China,2003.0,6.0,16.0,1295584.0,75000.0,127891.0,,,,,1306.97245408557,4.58,Lower-Middle
IRN,Iran (Islamic Republic of),2005.0,5.4,,110.0,,,,,,,3132.0508192007,11.813,Lower-Middle
IDN,Indonesia,2005.0,6.3,1.0,684.0,,,,,,,1238.21447629488,7.945,Lower-Middle
IRN,Iran (Islamic Republic of),2005.0,6.4,612.0,94766.0,80000.0,128501.0,,,,,3132.0508192007,11.813,Lower-Middle
TUR,Türkiye,2005.0,5.8,,2268.0,,,,,,,7331.85429430255,10.636,Upper-Middle
SLV,El Salvador,2005.0,4.8,1.0,751.0,,,,,,,2447.39140845394,7.22,Lower-Middle
TUR,Türkiye,2005.0,5.6,,354.0,,,,,,,7331.85429430255,10.636,Upper-Middle
TUR,Türkiye,2011.0,5.8,3.0,10121.0,244000.0,340270.0,,,,,11373.6355760885,9.789,Upper-Middle
PER,Peru,2021.0,7.2,,17912.0,,,,,,,6826.20255614477,5.097,Upper-Middle
AFG,Afghanistan,2012.0,5.7,75.0,3548.0,,,,,,,651.417134470046,7.875,Low
AFG,Afghanistan,2005.0,7.6,1.0,,50.0,80.0,,,,,254.184249149336,7.878,Low
IND,India,2005.0,7.6,1309.0,156622.0,1000000.0,1606259.0,,,,,710.488080408949,7.551,Low
IDN,Indonesia,2009.0,7.0,128.0,339792.0,160000.0,233947.0,,,,,2218.48541852977,6.106,Lower-Middle
IDN,Indonesia,2006.0,6.3,5778.0,3177923.0,3100000.0,4823789.0,,,,,1558.31562847163,7.551,Lower-Middle
COL,Colombia,2004.0,7.2,,8036.0,,,,,,,2818.57195413044,13.717,Lower-Middle
IRN,Iran (Islamic Republic of),2005.0,6.0,,21912.0,,,,,,,3132.0508192007,11.813,Lower-Middle
IRN,Iran (Islamic Republic of),2006.0,6.1,63.0,161418.0,42262.0,65762.0,,,,,3618.91601364428,11.519,Lower-Middle
IRN,Iran (Islamic Republic of),2006.0,5.0,,70.0,,,,,,,3618.91601364428,11.519,Lower-Middle
TJK,Tajikistan,2006.0,5.6,3.0,15427.0,22000.0,34233.0,,,,,401.018403316427,3.65,Low
COL,Colombia,2007.0,6.8,,175.0,,,,,,,4769.926147194,11.204,Upper-Middle
BRB,Barbados,2007.0,7.4,,1.0,,,,,,,17235.4396434785,7.41,High
LCA,Saint Lucia,2007.0,7.4,,,,,,,,,7964.38211480117,14.0,Upper-Middle
COD,Democratic Republic of the Congo,2008.0,5.9,11.0,17355.0,7000.0,10199.0,,,,,352.900363371995,3.627,Low
IDN,Indonesia,2013.0,6.1,1.0,515.0,,,,,,,3566.60284506078,4.336,Lower-Middle
IRN,Iran (Islamic Republic of),2008.0,4.5,,170.0,,,,,,,5377.4115072957,10.63,Upper-Middle
JPN,Japan,2008.0,6.8,1.0,470.0,110000.0,160267.0,,,,,39876.3039685725,4.002,High
CHN,China,2013.0,5.2,,427740.0,56000.0,75407.0,,,,,7147.03518622344,4.6,Upper-Middle
IRN,Iran (Islamic Republic of),2008.0,6.1,6.0,20545.0,,,,,,,5377.4115072957,10.63,Upper-Middle
PAK,Pakistan,2008.0,6.4,166.0,75320.0,10000.0,14570.0,,,,,1067.04324565284,0.423,Low
ALB,Albania,2009.0,5.5,,150.0,,,,,,,4213.65007574693,13.674,Lower-Middle
IRN,Iran (Islamic Republic of),2009.0,5.0,,269.0,,,,,,,5415.52280553446,12.113,Upper-Middle
IRN,Iran (Islamic Republic of),2010.0,5.0,,750.0,,,,,,,6291.19443655454,13.679,Upper-Middle
IRN,Iran (Islamic Republic of),2010.0,5.5,,274.0,,,,,,,6291.19443655454,13.679,Upper-Middle
CHN,China,2021.0,6.1,3.0,39028.0,516000.0,597349.0,,,,,12887.4357242941,4.55,Upper-Middle
IRN,Iran (Islamic Republic of),2010.0,4.9,,104.0,,,,,,,6291.19443655454,13.679,Upper-Middle
IRN,Iran (Islamic Republic of),2010.0,6.7,7.0,25.0,,,,,,,6291.19443655454,13.679,Upper-Middle
AFG,Afghanistan,2010.0,5.6,11.0,1070.0,,,,,,,560.621505463146,7.809,Low
IRN,Iran (Islamic Republic of),2010.0,5.8,3.0,3600.0,,,,,,,6291.19443655454,13.679,Upper-Middle
PAK,Pakistan,2011.0,7.2,2.0,1000.0,,,,,,,1131.73513834324,0.796,Lower-Middle
JPN,Japan,2003.0,7.4,2.0,773.0,563000.0,960037.0,,,,,35387.0374203599,5.251,High
TJK,Tajikistan,2011.0,6.1,,,,,,,,,833.601978202852,7.04,Low
GTM,Guatemala,2011.0,5.6,3.0,400.0,,,,,,,3168.98370607705,3.169,Lower-Middle
TZA,United Republic of Tanzania,2000.0,6.5,1.0,791.0,,,,,,,401.698150634766,3.129,Low
CHN,China,2001.0,5.6,3.0,300109.0,24000.0,42518.0,,,,,1065.40597574519,3.8,Low
TJK,Tajikistan,2012.0,5.7,2.0,2531.0,,,,,,,952.452819695469,7.022,Low
IRN,Iran (Islamic Republic of),2012.0,6.4,306.0,61546.0,500000.0,683139.0,,,,,8114.08099831877,12.275,Upper-Middle
DZA,Algeria,2006.0,5.2,4.0,319.0,,,,,,,3660.66104745322,12.27,Lower-Middle
IRN,Iran (Islamic Republic of),2012.0,5.1,,238.0,,,,,,,8114.08099831877,12.275,Upper-Middle
IRN,Iran (Islamic Republic of),2013.0,6.4,37.0,4350.0,600000.0,807931.0,,,,,6222.74194840326,10.595,Upper-Middle
CHN,China,2021.0,5.4,3.0,195.0,125000.0,144707.0,,,,,12887.4357242941,4.55,Upper-Middle
IND,India,2013.0,5.7,3.0,59350.0,120000.0,161586.0,,,,,1432.84397512195,7.678,Lower-Middle
IRN,Iran (Islamic Republic of),2021.0,5.9,,3543.0,,,,,,,4605.14881318992,9.282,Upper-Middle
IND,India,2021.0,6.4,2.0,3010.0,,,,,,,2239.61384367482,6.38,Lower-Middle
PAK,Pakistan,2013.0,6.8,22.0,50.0,,,,,,,1225.4340119198,2.954,Lower-Middle
IRN,Iran (Islamic Republic of),2013.0,5.8,8.0,1620.0,,,,,,,6222.74194840326,10.595,Upper-Middle
CHL,Chile,2014.0,8.2,6.0,513387.0,100000.0,132506.0,,,,,14529.6767206336,6.761,High
COL,Colombia,2015.0,6.2,,41236.0,,,,,,,6248.51490534512,8.572,Upper-Middle
COD,Democratic Republic of the Congo,2015.0,5.5,3.0,390.0,,,,,,,495.826633014883,4.441,Low
AFG,Afghanistan,2015.0,6.3,,407.0,,,,,,,565.569730408751,9.032,Low
PAK,Pakistan,2015.0,6.3,3.0,85.0,,,,,,,1380.47020838317,3.566,Lower-Middle
IDN,Indonesia,2022.0,5.6,334.0,2204645.0,,,,,,,4730.83484836107,3.462,Upper-Middle
CHN,China,2007.0,6.1,3.0,329.0,342000.0,517413.0,,,,,2734.72709877693,4.35,Lower-Middle
TUR,Türkiye,2020.0,5.4,,278.0,,,,,,,8798.11791709313,13.148,Upper-Middle
GRC,Greece,2020.0,7.0,2.0,919.0,,,,,,,17886.733165236,15.899,High
